cliff,yearlog.1,yearlog.2,yearlog.3,yearlog.4,yearlog.5,yearlog.6,yearlog.7,yearlog.8,yearlog.9,yearlog.10,yearlog.11,yearlog.12,yearlog.13,yearlog.14,yearlog.15,yearlog.16,yearlog.17,yearlog.18,yearlog.19,yearlog.20,yearlog.21
42a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
43a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
44a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
45a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
46a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
47a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
48a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
49a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
50a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
51a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
