cliff,tmax.1,tmax.2,tmax.3,tmax.4,tmax.5,tmax.6,tmax.7,tmax.8,tmax.9,tmax.10,tmax.11,tmax.12,tmax.13,tmax.14,tmax.15,tmax.16,tmax.17,tmax.18,tmax.19,tmax.20,tmax.21
11a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
12a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
13a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
14a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
15a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
16a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
17a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
18a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
19a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
20a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
21a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
22a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
