cliff,pdo.1,pdo.2,pdo.3,pdo.4,pdo.5,pdo.6,pdo.7,pdo.8,pdo.9,pdo.10,pdo.11,pdo.12,pdo.13,pdo.14,pdo.15,pdo.16,pdo.17,pdo.18,pdo.19,pdo.20,pdo.21
11a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
12a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
13a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
14a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
15a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
16a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
17a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
18a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
19a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
20a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
21a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
22a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
23a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
24a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
25a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
26a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
27a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
28a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
29a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
30a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
