cliff,precip.1,precip.2,precip.3,precip.4,precip.5,precip.6,precip.7,precip.8,precip.9,precip.10,precip.11,precip.12,precip.13,precip.14,precip.15,precip.16,precip.17,precip.18,precip.19,precip.20,precip.21
53a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
54a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
55a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
56a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
57a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
58a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
59a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
60a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
61a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
62a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
63a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
64a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
65a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
66a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
67a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
68a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
69a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
70a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
71a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
72a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
73a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
74a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
